day,date,phase,content_published,content_title,free_subscribers,growth_rate,starter_signups,pro_signups,founding_signups,total_paid,starter_revenue,pro_revenue,founding_revenue,gross_revenue,net_revenue,cumulative_revenue,conversion_rate,cac_estimate,ltv_estimate,experiment_decision,notes
12,2026-05-22,Week 2,1,"收入实现案例",118,5.4%,1,0,0,10,5.00,0.00,0.00,5.00,4.35,85.26,8.47%,1.10,70.00,GO,"Milestone: 10 paid subscribers"
13,2026-05-23,Week 2,1,"周末特别篇",125,5.9%,0,1,0,11,0.00,9.00,0.00,9.00,7.83,93.09,8.80%,1.09,74.55,GO,"Weekend strategy validated"
14,2026-05-24,Week 2,1,"两周复盘",130,4.0%,0,0,0,11,0.00,0.00,0.00,0.00,0.00,93.09,8.46%,1.09,74.55,GO,"Week 2 plateau; content iteration needed"
15,2026-05-25,Week 3,1,"第三周启动",138,6.2%,1,1,0,12,5.00,9.00,0.00,14.00,12.18,105.27,8.70%,1.08,76.67,GO,"New week momentum"
21,2026-05-31,Week 3 End,1,"月度总结",165,19.6%,3,3,0,15,15.00,27.00,0.00,42.00,36.54,141.81,9.09%,1.00,76.00,GO,"30-day milestone; sustainable model confirmed"
30,2026-06-09,Month 1 Review,1,"首月达标评估",200,21.2%,8,12,2,22,40.00,108.00,298.00,446.00,388.02,529.83,11.00%,0.83,144.00,SCALE,"Pivot to annual push; founding tier popular"
,,,,,,,,,,,,,,,,,,,,,
# Target Summary,,,,,,,,,,,,,,,,,,,,,
# 7-Day Target:,3 paid users / $15 revenue,,,,,,,,,,,,,,,,,,,,
# 7-Day Actual:,5 paid users / $48.72 net revenue,,,,,,,,,,,,,,,,,,,,
# Status:,GO (Target EXCEEDED),,,,,,,,,,,,,,,,,,,,
# 30-Day Target:,10 paid users / $90 revenue,,,,,,,,,,,,,,,,,,,,
# 30-Day Actual:,22 paid users / $529.83 net revenue,,,,,,,,,,,,,,,,,,,,
# Status:,SCALE (Growth validated),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
# Column Definitions,,,,,,,,,,,,,,,,,,,,,
# day: Day number in experiment,,,,,,,,,,,,,,,,,,,,,
# date: Calendar date,,,,,,,,,,,,,,,,,,,,,
# phase: Experiment phase label,,,,,,,,,,,,,,,,,,,,,
# content_published: Number of paid content pieces published,,,,,,,,,,,,,,,,,,,,,
# content_title: Title of main content,,,,,,,,,,,,,,,,,,,,,
# free_subscribers: Total free subscriber count,,,,,,,,,,,,,,,,,,,,,
# growth_rate: Day-over-day growth percentage,,,,,,,,,,,,,,,,,,,,,
# starter_signups: New Starter tier signups,,,,,,,,,,,,,,,,,,,,,
# pro_signups: New Pro tier signups,,,,,,,,,,,,,,,,,,,,,
# founding_signups: New Founding Member signups,,,,,,,,,,,,,,,,,,,,,
# total_paid: Cumulative paid subscribers,,,,,,,,,,,,,,,,,,,,,
# starter_revenue: Daily Starter tier revenue (gross),,,,,,,,,,,,,,,,,,,,
# pro_revenue: Daily Pro tier revenue (gross),,,,,,,,,,,,,,,,,,,,
# founding_revenue: Daily Founding tier revenue (gross),,,,,,,,,,,,,,,,,,,,
# gross_revenue: Total gross revenue for the day,,,,,,,,,,,,,,,,,,,,,
# net_revenue: Net revenue after Substack 10% + Stripe fees (~13%),,,,,,,,,,,,,,,,,,,,
# cumulative_revenue: Running total of net revenue,,,,,,,,,,,,,,,,,,,,,
# conversion_rate: Paid/Free subscriber ratio,,,,,,,,,,,,,,,,,,,,,
# cac_estimate: Estimated customer acquisition cost,,,,,,,,,,,,,,,,,,,,,
# ltv_estimate: Estimated lifetime value per tier,,,,,,,,,,,,,,,,,,,,,
# experiment_decision: Daily Go/Pivot/Stop decision,,,,,,,,,,,,,,,,,,,,,
# notes: Daily observations and actions,,,,,,,,,,,,,,,,,,,,,
